category_number,drxfcsd,level,parent,max_level_by_num,max_level_skips,ancestors,branch
11461210,"frozen yogurt bar, vanilla",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461210"
11461220,"frozen yogurt bar, chocolate",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461220"
11461250,"frozen yogurt cone, chocolate",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461250"
11461260,"frozen yogurt cone, vanilla",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461260"
11461270,"yogurt, frozen, cone, flavors other than chocolate, lowfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461270"
11461280,"yogurt, frozen, cone, chocolate, lowfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461280"
11461300,"frozen yogurt cone, vanilla, waffle cone",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461300"
11461320,"frozen yogurt cone, chocolate, waffle cone",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461320"
11480010,"yogurt, whole milk, baby food",4,9010,4,4,"0,9010,9000,14","0,9010,9000,14,11480010"
11480020,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",4,9010,4,4,"0,9010,9000,14","0,9010,9000,14,11480020"
11480030,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",4,9010,4,4,"0,9010,9000,14","0,9010,9000,14,11480030"
11480040,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus dha",4,9010,4,4,"0,9010,9000,14","0,9010,9000,14,11480040"
11511000,"chocolate milk, nfs",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11511000"
11511100,"chocolate milk, ready to drink, whole",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11511100"
11511200,"chocolate milk, ready to drink, reduced fat",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11511200"
11511300,"chocolate milk, ready to drink, fat free",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11511300"
11511400,"chocolate milk, ready to drink, low fat",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11511400"
11511550,"chocolate milk, ready to drink, reduced sugar, ns as to milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11511550"
11511600,"chocolate milk, ready to drink, low fat (nesquik)",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11511600"
11511610,"chocolate milk, ready to drink, fat free (nesquik)",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11511610"
11511700,"chocolate milk, ready to drink, low fat, no sugar added (nesquik)",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11511700"
11512010,"hot chocolate / cocoa, ready to drink",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11512010"
11512020,"hot chocolate / cocoa, ready to drink, made with nonfat milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11512020"
11512030,"hot chocolate / cocoa, ready to drink, made with non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11512030"
11512100,"hot chocolate / cocoa, ready to drink, with whipped cream",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11512100"
11512110,"hot chocolate / cocoa, ready to drink, made with nonfat milk and whipped cream",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11512110"
11512120,"hot chocolate / cocoa, ready to drink, made with non-dairy milk and whipped cream",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11512120"
11513000,"chocolate milk, made from dry mix, ns as to type of milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513000"
11513100,"chocolate milk, made from dry mix with whole milk",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11513100"
11513150,"chocolate milk, made from dry mix with reduced fat milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513150"
11513200,"chocolate milk, made from dry mix with low fat milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11513200"
11513300,"chocolate milk, made from dry mix with fat free milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11513300"
11513310,"chocolate milk, made from dry mix with non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11513310"
11513350,"chocolate milk, made from reduced sugar mix, ns as to type of milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513350"
11513355,"chocolate milk, made from reduced sugar mix with whole milk",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11513355"
11513360,"chocolate milk, made from reduced sugar mix with reduced fat milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11513360"
11513365,"chocolate milk, made from reduced sugar mix with low fat milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11513365"
11513370,"chocolate milk, made from reduced sugar mix with fat free milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11513370"
11513375,"chocolate milk, made from reduced sugar mix with non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11513375"
